ID	Gene Name	Species	GAD_DISEASE
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)	Homo sapiens	Adenocarcinoma|Esophageal Neoplasms,Adenocarcinoma|Stomach Neoplasms,Adenomatous Polyposis Coli,Alzheimer's disease   ,Apoplexy|Stroke,Arsenic Poisoning,Biliary Tract Neoplasms|Gallstones,Brain Neoplasms|Glioma,Brain Neoplasms|Glioma|Meningeal Neoplasms|meningioma|Neuroma, Acoustic|Neuromas, Acoustic,Chromosome Aberrations|Chromosome abnormality|DNA Damage|Neoplasms,Chronic renal failure|Kidney Failure, Chronic,Cleft Lip|Cleft Palate,Colorectal Neoplasms,DNA Damage,DNA Damage|Helicobacter Infections|Precancerous Conditions|Stomach Neoplasms,DNA Damage|Radiation Injuries,DNA repair,Endometriosis,Esophageal Neoplasms|Head and Neck Neoplasms|Laryngeal Neoplasms|Mouth Neoplasms|Pharyngeal Neoplasms,Graft vs Host Disease,Graves Disease,Hematologic Neoplasms,Leukemia,Leukemia, Myeloid|Myeloid Leukemia,Lymphatic Metastasis|Thyroid Neoplasms,Lymphoma, Follicular|Lymphoma, Large B-Cell, Diffuse,Melanoma|Skin Neoplasms,Micronuclei, Chromosome-Defective,Myocardial Infarction,Neoplasms,Papillomavirus Infections|Uterine Cervical Neoplasms,Pre-Eclampsia,Pterygium,Stomach Neoplasms,Stroke,arsnic exposure,benzene toxicity,bladder cancer,bladder cancer leukemia lung cancer,breast cancer,breast cancer   ,cancer,cervical cancer,chromosome damage,chronic obstructive pulmonary disease,colorectal cancer,drug hypersensitivity leukemia,epithelial ovarian cancer ,esophageal adenocarcinoma,head and neck cancer,leukemia, childhood acute lymphoblastic,leukemia; bladder cancer; radiotherapy,lung cancer,lung cancer ,melanoma,melanoma|Skin Neoplasms,multiple sclerosis,nephropathy,neural tube defects; cleft lip with cleft palate; cleft lip without cleft palate,pancreatic cancer,prostate cancer,radiotherapy,radiotherapy response,radiotherapy sensitivity,skin lesions, arsenic-induced,subcutaneous fibrosis,upper aerodigestive tract cancer,
AQP3	aquaporin 3 (Gill blood group)(AQP3)	Homo sapiens	MENIERE DISEASE,Type 2 Diabetes| edema | rosiglitazone,
RSRP1	arginine and serine rich protein 1(RSRP1)	Homo sapiens	Blood Sedimentation,Myocardial Infarction,
ARMC10	armadillo repeat containing 10(ARMC10)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Tobacco Use Disorder,
AHR	aryl hydrocarbon receptor(AHR)	Homo sapiens	1-hydroxypyrene, urinary,Alzheimer's disease   ,CYP1A1 levels in lung tissue,Cholesterol, HDL,Chronic renal failure|Kidney Failure, Chronic,Cleft Lip|Cleft Palate,Clozapine,Colorectal Neoplasms,Heart Rate,Laryngeal neoplasm|Laryngeal Neoplasms|Neoplasms, Second Primary|Neoplasms, Squamous Cell,Lung Neoplasms|Occupational Diseases,Lymphoma, Non-Hodgkin,Multiple Myeloma,Myocardial Infarction,Thyrotropin,azoospermia infertility, male oligospermia,azoospermia; oligospermia,bladder cancer,blood pressure, arterial,breast cancer,breast cancer   ,chronic obstructive pulmonary disease,coke-oven toxicity,colorectal cancer,dementia,endometriosis,esophageal adenocarcinoma,lung cancer,lung cancer ,lung cancer; CYP1A1 inducibility,lymphoma,lymphoma, Non-Hodgkin's,macular degeneration,micropenis,
ATXN1	ataxin 1(ATXN1)	Homo sapiens	Alzheimer Disease,Alzheimer's disease,Amyotrophic Lateral Sclerosis,Amyotrophic lateral sclerosis,Body Height,Body Mass Index,Body Weight,Cerebellar Ataxia|,Coronary Artery Disease,Creatinine,Eosinophils,Genomic Instability|Spinocerebellar Ataxias,Heart Failure,Life Expectancy,Lipoproteins,Macular Degeneration,Metabolism,Myocardial Infarction,Parkinson's disease,Spinocerebellar Ataxias,Stroke,Tobacco Use Disorder,carotid artery intima-media thickness; spinocerebellar ataxia; Huntington's disease; myotonic dystrophy,cognitive function,myotonic dystrophy type 1,restless legs syndrome,schizophrenia,schizophrenia; schizoaffective disorder; bipolar disorder,spinocerebellar ataxia,spinocerebellar ataxia; Huntington's disease; myotonic dystrophy,trinucleotide expansion disease,
ATG3	autophagy related 3(ATG3)	Homo sapiens	Chronic progressive chorea|Huntington Disease,
BSG	basigin (Ok blood group)(BSG)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
BOD1L1	biorientation of chromosomes in cell division 1 like 1(BOD1L1)	Homo sapiens	Tobacco Use Disorder,
BAZ1B	bromodomain adjacent to zinc finger domain 1B(BAZ1B)	Homo sapiens	Caffeine,Cardiovascular Diseases,Fredrickson hyperlipoproteinemia,Hypertriglyceridemia,Protein C,Triglycerides,Type 2 Diabetes| edema | rosiglitazone,Type 2 diabetes,
CREB1	cAMP responsive element binding protein 1(CREB1)	Homo sapiens	Alcoholism,Alzheimer's disease   ,Bulimia,Diabetes mellitus|Diabetes mellitus type II|Diabetes Mellitus, Type 2,Inflammation|Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Lithium response,Type 2 Diabetes| edema | rosiglitazone,alcohol consumption,anger expression,antipsychotic response | Weight Gain,asthma,bronchodilator response,childhood-onset mood disorders,depression,major depressive disorder,plasma HDL cholesterol (HDL-C) levels,suicide,
CALCOCO2	calcium binding and coiled-coil domain 2(CALCOCO2)	Homo sapiens	Neuroblastoma,
CALM1	calmodulin 1(CALM1)	Homo sapiens	Brain Ischemia|Cardiovascular Diseases|Coronary Disease|Stroke,Bulimia,Coronary Disease|Coronary heart disease|Myocardial Infarction,Osteoarthritis, Knee,Schizophrenia,Scoliosis,Triglycerides,Type 2 Diabetes| edema | rosiglitazone,Waist-Hip Ratio,atherosclerosis, coronary lipoprotein,osteoarthritis,
CANX	calnexin(CANX)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,nephrogenic diabetes insipidus,
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1(CAPZA1)	Homo sapiens	Blood Pressure,
CAPG	capping actin protein, gelsolin like(CAPG)	Homo sapiens	Carotid Artery Diseases|Hyperlipoproteinemia Type II,
CSNK1D	casein kinase 1 delta(CSNK1D)	Homo sapiens	Aging/ Telomere Length,Communicable Diseases|Coronary Disease|Coronary heart disease|Degenerative arthropathy |Diabetes mellitus|Hyperparathyroidism|Neoplasms|Osteoarthritis|Osteoporosis, Postmenopausal|Psoriasis,bipolar disorder,breast cancer,breast cancer   ,cognitive trait,schizophrenia | bipolar disorder,
CASP3	caspase 3(CASP3)	Homo sapiens	Adenocarcinoma|Lymphatic Metastasis|Stomach Neoplasms,Adenocarcinoma|Neoplasms, Prostatic|Prostatic Neoplasms,Autism,Bone Mineral Density,Carcinoma, Squamous Cell|Head and Neck Neoplasms,Chronic renal failure|Kidney Failure, Chronic,Diabetic Nephropathies|Diabetic Nephropathy,Endometrial Neoplasms|,Gastrointestinal Stromal Tumors,Hematocrit,Hemoglobins,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Leukemia, Lymphocytic, Chronic, B-Cell,Leukemia, Myelogenous, Chronic, BCR-ABL Positive,Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Neovascularization, Pathologic,Lymphoma, Non-Hodgkin,Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Mucocutaneous Lymph Node Syndrome,Multiple Myeloma,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,bladder cancer,chronic obstructive pulmonary disease,clubfoot,colorectal cancer,esophageal adenocarcinoma,lung cancer,lung cancer ,lymphoma, non-Hodgkin,multiple sclerosis,
CASP4	caspase 4(CASP4)	Homo sapiens	Adenocarcinoma|Neoplasms, Prostatic|Prostatic Neoplasms,Gastrointestinal Stromal Tumors,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Lymphoma, Non-Hodgkin,Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,benzene haematotoxicity,esophageal adenocarcinoma,
CASP8	caspase 8(CASP8)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Adenocarcinoma|Neoplasms, Prostatic|Prostatic Neoplasms,Anthracosis|,Asthma|Bronchial Hyperreactivity,Bone Mineral Density,Brain Neoplasms|Glioma|meningioma|Neuroma, Acoustic|Neuromas, Acoustic,Breast Neoplasms|Colorectal Neoplasms|Prostatic Neoplasms,Breast Neoplasms|Mammary Neoplasms,Carcinoma, Renal Cell|Renal Cell Carcinoma,Carcinoma, Squamous Cell|Head and Neck Neoplasms|Squamous cell carcinoma,Diabetes Mellitus|Pancreatic Neoplasms,Endometrial Neoplasms|,Gastrointestinal Stromal Tumors,Glioma,Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,Hepatitis C, Chronic|HIV Infections|Liver Diseases,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Infertility, Male,Leukemia, Lymphocytic, Chronic, B-Cell,Leukemia, Myelogenous, Chronic, BCR-ABL Positive,Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Neovascularization, Pathologic,Lymphoma, Non-Hodgkin,Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Melanoma|Skin Neoplasms,Meningeal Neoplasms|Meningioma,Multiple Myeloma,Narcolepsy,Neoplasms,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,bladder cancer,breast cancer,breast cancer   ,breast cancer cervical cancer colorectal cancer esophageal cancer lung cancer stomach cancer,breast cancer|ovarian cancer,chronic obstructive pulmonary disease,clubfoot,colorectal cancer,esophageal adenocarcinoma,longevity,lung cancer,lung cancer ,lymphoma, non-Hodgkin,multiple sclerosis,ovarian cancer,ovarian cancer  ,prostate cancer,prostate carcinoma,rubella vaccine,
CTSB	cathepsin B(CTSB)	Homo sapiens	Calcinosis|Diabetes Mellitus, Type 2|Pancreatitis, Chronic,Calcinosis|Pancreatitis,Chronic renal failure|Kidney Failure, Chronic,Type 2 Diabetes| edema | rosiglitazone,bladder cancer,colorectal cancer,pancreatitis, tropical calcific,prostate cancer,
CTSC	cathepsin C(CTSC)	Homo sapiens	Body Weight,Breath Tests,Cholesterol, HDL,Liver Diseases,Periodontitis,cardiovascular disease; periodontal disease,
CDC123	cell division cycle 123(CDC123)	Homo sapiens	Alzheimer's disease   ,Diabetes Mellitus, Type 2,Diabetes Mellitus, Type 2|,Diabetes Mellitus|Diabetes Mellitus, Type 2|,Diabetes mellitus|HIV Infections|[X]Human immunodeficiency virus disease,Hemoglobin A, Glycosylated,Posttransplantation diabetes mellitus (PTDM),Respiratory Function Tests,Tobacco Use Disorder,Type 2 diabetes,diabetes, type 2,obesity,type 2 diabetes,
CDC25B	cell division cycle 25B(CDC25B)	Homo sapiens	Bipolar Disorder,bladder cancer,breast cancer,chronic obstructive pulmonary disease,lung cancer,lung cancer ,ovarian cancer,
CDC40	cell division cycle 40(CDC40)	Homo sapiens	Colorectal Neoplasms|,
CDC5L	cell division cycle 5 like(CDC5L)	Homo sapiens	Amyotrophic Lateral Sclerosis,Body Height,Celiac Disease|,
CCAR1	cell division cycle and apoptosis regulator 1(CCAR1)	Homo sapiens	Alzheimer's disease   ,
CNTRL	centriolin(CNTRL)	Homo sapiens	Tobacco Use Disorder,breast cancer,
CENPC	centromere protein C(CENPC)	Homo sapiens	Bipolar Disorder,Cholesterol,Parkinson Disease,multiple sclerosis (severity),
CEP57	centrosomal protein 57(CEP57)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
CERS2	ceramide synthase 2(CERS2)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Kidney Diseases,
CRBN	cereblon(CRBN)	Homo sapiens	Bipolar Disorder,Blood Pressure,Bone Density,C-Reactive Protein,Cholesterol, HDL,Creatinine,Echocardiography,Fibrinogen,Hemoglobin A, Glycosylated,Iron,Lipoproteins, VLDL,Neutrophils,Pancreatic Neoplasms,Prostatic Neoplasms,Tunica Media,Vitamin K,
CCT2	chaperonin containing TCP1 subunit 2(CCT2)	Homo sapiens	Apoplexy|Cerebral Hemorrhage|Cerebral Hemorrhages|Intracranial Hemorrhages|Stroke|Subarachnoid Hemorrhage,Creatinine,height,hypertension,
CCT3	chaperonin containing TCP1 subunit 3(CCT3)	Homo sapiens	Cleft Lip|Cleft Palate,
CHMP1B	charged multivesicular body protein 1B(CHMP1B)	Homo sapiens	Bipolar Disorder,bipolar disorder,
CHMP5	charged multivesicular body protein 5(CHMP5)	Homo sapiens	Erectile Dysfunction,
CLNS1A	chloride nucleotide-sensitive channel 1A(CLNS1A)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,Tobacco Use Disorder,
CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2(CSGALNACT2)	Homo sapiens	Alzheimer's disease   ,Hirschsprung's disease,Monocytes,
CHD2	chromodomain helicase DNA binding protein 2(CHD2)	Homo sapiens	Hypertension,Tobacco Use Disorder,
C12ORF57	chromosome 12 open reading frame 57(C12orf57)	Homo sapiens	Alzheimer's disease   ,
CS	citrate synthase(CS)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Body Height,spermatogenesis,
COQ10B	coenzyme Q10B(COQ10B)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
CCSER2	coiled-coil serine rich protein 2(CCSER2)	Homo sapiens	Alzheimer's disease   ,Lipids,Tobacco Use Disorder,Triglycerides,
CSDE1	cold shock domain containing E1(CSDE1)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,
C1QBP	complement C1q binding protein(C1QBP)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Meningeal Neoplasms|meningioma,Type 2 Diabetes| edema | rosiglitazone,
CPNE3	copine 3(CPNE3)	Homo sapiens	Hip,
CCS	copper chaperone for superoxide dismutase(CCS)	Homo sapiens	Aging/ Telomere Length,cognitive trait,
CUL4A	cullin 4A(CUL4A)	Homo sapiens	longevity,
CUTA	cutA divalent cation tolerance homolog(CUTA)	Homo sapiens	Lupus Erythematosus, Systemic,
CAP1	cyclase associated actin cytoskeleton regulatory protein 1(CAP1)	Homo sapiens	Type 2 diabetes,
CCND2	cyclin D2(CCND2)	Homo sapiens	Carcinoma, Hepatocellular|Hepatitis B|LCC - Liver cell carcinoma|Liver neoplasms,Chronic renal failure|Kidney Failure, Chronic,Leukemia, Lymphoid,Narcolepsy,breast cancer,breast cancer   ,diabetes, type 2,major depressive disorder,ovarian cancer,ovarian cancer  ,
CCND3	cyclin D3(CCND3)	Homo sapiens	Alzheimer's disease   ,Body Fat Distribution,Body Mass Index,Body Weight,Breast Neoplasms,Chronic renal failure|Kidney Failure, Chronic,Erythrocyte Count,Erythrocyte Indices,Neutrophils,Waist Circumference,Waist-Hip Ratio,bladder cancer,breast cancer,breast cancer   ,chronic obstructive pulmonary disease,esophageal adenocarcinoma,hematological parameters,lung cancer,lung cancer ,mean corpuscular hemoglobin,mean corpuscular volume,ovarian cancer,ovarian cancer  ,plasma HDL cholesterol (HDL-C) levels,
GAK	cyclin G associated kinase(GAK)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Parkinson Disease,Parkinson's disease,Parkinson's disease (familial),
CCNH	cyclin H(CCNH)	Homo sapiens	Biliary Tract Neoplasms|,Body Mass Index,Brain Neoplasms|Glioma|meningioma|Neuroma, Acoustic|Neuromas, Acoustic,Chronic renal failure|Kidney Failure, Chronic,Colorectal Neoplasms,Fibrinogen,Hemoglobins,Hypertrophy, Left Ventricular,Insulin,Insulin Resistance,Leukemia, Lymphocytic, Chronic, B-Cell,Leukemia, Myeloid, Acute,Neoplasms,bladder cancer,body mass; diabetes, type 2; leukemia; breast cancer; glucose; cytogenetic studies; birth weight;,chronic obstructive pulmonary disease,colorectal cancer,esophageal cancer ,lung cancer,lung cancer ,multiple sclerosis,oral premalignant lesions,
CDK17	cyclin dependent kinase 17(CDK17)	Homo sapiens	Body Weight,Fibrinogen,Parkinson Disease,Phospholipids,neurofibromatosis 1,
CDK4	cyclin dependent kinase 4(CDK4)	Homo sapiens	Brain Neoplasms|Glioblastoma,Breast Neoplasms|Mammary Neoplasms|melanoma|ovarian neoplasm|Ovarian Neoplasms|Uveal Neoplasms,Chronic renal failure|Kidney Failure, Chronic,Diabetes Mellitus, Type 2|Obesity,Glioma,Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,Lymphoma, Non-Hodgkin,Melanoma|Neoplasms, Second Primary,Melanoma|Skin Neoplasms,Mouth Neoplasms|Precancerous Conditions,Neoplasms|Obesity,Type 2 Diabetes| edema | rosiglitazone,bladder cancer,body mass; diabetes, type 2; glucose; birth weight,breast cancer,breast cancer   ,chronic obstructive pulmonary disease,diabetes, type 2,esophageal adenocarcinoma,leukemia, childhood acute lymphoblastic,lung cancer,lung cancer ,melanoma,melanoma, sporadic primary,melanoma|Skin Neoplasms,ovarian cancer,ovarian cancer  ,pancreatic cancer,
COX7A2	cytochrome c oxidase subunit 7A2(COX7A2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,prostate cancer,
CRLF3	cytokine receptor like factor 3(CRLF3)	Homo sapiens	Craniofacial Abnormalities|Growth Disorders|Learning Disorders|Syndrome,Height,height,ovarian cancer,
DAXX	death domain associated protein(DAXX)	Homo sapiens	Cholesterol,Lupus Erythematosus, Systemic,Precursor Cell Lymphoblastic Leukemia-Lymphoma,diabetes, type 1,
DCP1B	decapping mRNA 1B(DCP1B)	Homo sapiens	Bilirubin,Hemoglobin A, Glycosylated,Pancreatic Neoplasms,
DOCK10	dedicator of cytokinesis 10(DOCK10)	Homo sapiens	Attention Deficit Disorder with Hyperactivity,
DUT	deoxyuridine triphosphatase(DUT)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Adiponectin,DNA Damage|,Myocardial Infarction,protein quantitative trait loci,
DBI	diazepam binding inhibitor, acyl-CoA binding protein(DBI)	Homo sapiens	alcohol consumption,anxiety disorder panic disorder,diabetes, type 2,several psychiatric disorders,
DLST	dihydrolipoamide S-succinyltransferase(DLST)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Alzheimer's Disease,Alzheimer's disease   ,Alzheimer's disease; Wernicke-Korsakoff syndrome,Tobacco Use Disorder,
DOK2	docking protein 2(DOK2)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit(DDOST)	Homo sapiens	Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1|Diabetic Nephropathies|Diabetic Nephropathy,Diabetes Mellitus, Type 2,HIV Infections|[X]Human immunodeficiency virus disease,drug-related genes ,
DUSP12	dual specificity phosphatase 12(DUSP12)	Homo sapiens	Diabetes Mellitus, Type 2,Diabetes mellitus type II|Diabetes Mellitus, Type 2,Neuroblastoma,diabetes, type 2,
DYNLL1	dynein light chain LC8-type 1(DYNLL1)	Homo sapiens	Tobacco Use Disorder,
EMB	embigin(EMB)	Homo sapiens	Alcoholism,
EPS15	epidermal growth factor receptor pathway substrate 15(EPS15)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Cleft Lip|Cleft Palate,Rhinitis, Allergic, Seasonal,
ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1(ESCO1)	Homo sapiens	Leukemia, Lymphocytic, Chronic, B-Cell,prostate cancer,
ETNK1	ethanolamine kinase 1(ETNK1)	Homo sapiens	Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,von Willebrand Factor,
EEF2	eukaryotic translation elongation factor 2(EEF2)	Homo sapiens	Tobacco Use Disorder,
EIF3F	eukaryotic translation initiation factor 3 subunit F(EIF3F)	Homo sapiens	Depression,
EIF3H	eukaryotic translation initiation factor 3 subunit H(EIF3H)	Homo sapiens	Cholesterol, HDL,HIV Infections|[X]Human immunodeficiency virus disease,colorectal cancer,lung cancer ,
EIF3L	eukaryotic translation initiation factor 3 subunit L(EIF3L)	Homo sapiens	Monocytes,
FIP1L1	factor interacting with PAPOLA and CPSF1(FIP1L1)	Homo sapiens	Potassium,
FAM107B	family with sequence similarity 107 member B(FAM107B)	Homo sapiens	Alzheimer's disease   ,Blood Pressure,Cholesterol,Creatinine,Glomerular Filtration Rate,Hip,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,
FAM177A1	family with sequence similarity 177 member A1(FAM177A1)	Homo sapiens	Arthritis, Juvenile Rheumatoid|Chronic Childhood Arthritis,Body Weights and Measures,Waist Circumference,
FDX1	ferredoxin 1(FDX1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Arteries,Insulin,Obesity,Tobacco Use Disorder,lung cancer,smoking cessation,
FLNA	filamin A(FLNA)	Homo sapiens	Bulimia,Type 2 Diabetes| edema | rosiglitazone,
GLA	galactosidase alpha(GLA)	Homo sapiens	Apoplexy|Fabry Disease|Stroke,Fabry Disease,Fabry disease,Type 2 Diabetes| edema | rosiglitazone,left ventricular wall thickness,
GLB1	galactosidase beta 1(GLB1)	Homo sapiens	Tobacco Use Disorder,
LGALS1	galectin 1(LGALS1)	Homo sapiens	Myasthenia Gravis,Type 2 Diabetes| edema | rosiglitazone,thyroid cancer,
LGALS3	galectin 3(LGALS3)	Homo sapiens	Body Weight,Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1|Diabetic Nephropathies|Diabetic Nephropathy,Type 2 Diabetes| edema | rosiglitazone,longevity,thyroid cancer,
GTF2E2	general transcription factor IIE subunit 2(GTF2E2)	Homo sapiens	Cognitive performance ,ulcerative colitis,
GPI	glucose-6-phosphate isomerase(GPI)	Homo sapiens	Carcinoma, Pancreatic Ductal|Pancreatic Neoplasms,hereditary nonspherocytic hemolytic anemia (HNSHA).,
GCLM	glutamate-cysteine ligase modifier subunit(GCLM)	Homo sapiens	2-thiothiazolidine-4-carboxylic acid levels,Asthma,Atherosclerosis|Carotid Artery Diseases|Diabetes Mellitus, Type 2|,Atherosclerosis|Diabetes Complications|Diabetes mellitus type II|Diabetes Mellitus, Type 2|Myocardial Infarction,Coronary Disease,Glomerulonephritis, IGA,Kidney Failure, Chronic,Pulmonary Disease, Chronic Obstructive,Schizophrenia,Type 2 Diabetes| edema | rosiglitazone,arsnic exposure,atherosclerosis,atherosclerosis, coronary,berylliosis,body burden of methylmercury,chronic obstructive pulmonary disease/COPD,cognitive impairment, vascular stroke, ischemic,immunologic markers among vulcanization workers ,lung cancer,metabolic syndrome,methylmercury retention,myocardial infarction,schizophrenia,
GLRX	glutaredoxin(GLRX)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Aging/ Telomere Length,Blood Pressure,Hypertension|Pre-Eclampsia|Pregnancy Complications,arsenic ,arsnic exposure,cognitive trait,
GPAA1	glycosylphosphatidylinositol anchor attachment 1(GPAA1)	Homo sapiens	Metabolism,
GLO1	glyoxalase I(GLO1)	Homo sapiens	Albuminuria|Diabetes Mellitus, Type 2,Alcoholism,Autism,Chronic renal failure|Kidney Failure, Chronic|Uremia,Diabetes mellitus type II|Diabetes Mellitus, Type 2|pancreatic neoplasm|Pancreatic Neoplasms,Kidney Failure, Chronic|Vascular Diseases,Psychiatric Disorders,Tobacco Use Disorder,Vascular Diseases,atherosclerosis, coronary; tuberculosis,autism,breast cancer,breast cancer   ,cirrhosis, alcoholic,metabolic syndrome,multiple sclerosis,panic disorder,pro-thrombotic factors,tuberculosis,
GLOD4	glyoxalase domain containing 4(GLOD4)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
GOLGA7	golgin A7(GOLGA7)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
GHITM	growth hormone inducible transmembrane protein(GHITM)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Alzheimer's disease   ,Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,
GBP2	guanylate binding protein 2(GBP2)	Homo sapiens	Cholesterol, LDL,hepatitis B,
GBP4	guanylate binding protein 4(GBP4)	Homo sapiens	Myocardial Infarction,Tobacco Use Disorder,
HSP90AB1	heat shock protein 90 alpha family class B member 1(HSP90AB1)	Homo sapiens	Chronic renal failure|Kidney Failure, Chronic,Type 2 Diabetes| edema | rosiglitazone,asthma,benzene haematotoxicity,
HSPA8	heat shock protein family A (Hsp70) member 8(HSPA8)	Homo sapiens	Aging/ Telomere Length,Aneurysm, Dissecting|Aortic Aneurysm, Thoracic|Hypertension,Chronic renal failure|Kidney Failure, Chronic,Coronary Disease|Coronary heart disease,Echocardiography,Kidney Failure, Chronic,Type 2 Diabetes| edema | rosiglitazone,asthma,cognitive ability,cognitive trait,kidney failure,lung cancer,metabolic syndrome,
HSPB1	heat shock protein family B (small) member 1(HSPB1)	Homo sapiens	Charcot-Marie-Tooth disease,Diabetic Nephropathies|Diabetic Nephropathy,Multiple Sclerosis,lung cancer,
HGS	hepatocyte growth factor-regulated tyrosine kinase substrate(HGS)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
HP1BP3	heterochromatin protein 1 binding protein 3(HP1BP3)	Homo sapiens	Tobacco Use Disorder,longevity,
HNRNPLL	heterogeneous nuclear ribonucleoprotein L like(HNRNPLL)	Homo sapiens	Respiratory Function Tests,
HNRNPU	heterogeneous nuclear ribonucleoprotein U(HNRNPU)	Homo sapiens	Parkinson Disease,
HMGN4	high mobility group nucleosomal binding domain 4(HMGN4)	Homo sapiens	Hip,
HOXB2	homeobox B2(HOXB2)	Homo sapiens	ovarian cancer,primary tooth development ,
HCFC1R1	host cell factor C1 regulator 1(HCFC1R1)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha(HADHA)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,HELLP syndrome,HELLP syndrome; acute fatty liver of pregnancy,bladder cancer,chronic obstructive pulmonary disease,lung cancer,lung cancer ,obesity,preeclampsia,prostate cancer,
HPRT1	hypoxanthine phosphoribosyltransferase 1(HPRT1)	Homo sapiens	Arthritis, Rheumatoid|Osteoarthritis,Inflammatory bowel disease, NOS|Inflammatory Bowel Diseases|Leukopenia,Lesch-Nyhan syndrome,cytogenetic studies,inflammatory bowel disease ,lead toxicity,lung cancer,normal variation,smoking behavior,
ICOS	inducible T cell costimulator(ICOS)	Homo sapiens	Albuminuria,Arthritis, Rheumatoid|Liver Cirrhosis, Biliary,Arthritis, Rheumatoid|Rheumatoid Arthritis,Asthma|Bronchial Hyperreactivity|Hypersensitivity, Immediate,Asthma|Hypersensitivity, Immediate,Celiac Disease,Celiac Disease|Common Variable Immunodeficiency|IgA Deficiency,Celiac disease,Erythrocytes,Graft vs Host Disease|Recurrence,Hepatitis C|Remission, Spontaneous,Hypersensitivity,Leukemia, Lymphocytic, Chronic, B-Cell,Lipids,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Macular Degeneration,Rhinitis, Allergic, Seasonal,Socioeconomic Factors,Triglycerides,celiac disease,cervical cancer,cervical squamous cell carcinoma,cholangitis, sclerosing,diabetes, type 1 ,diabetes, type 1; celiac disease; myasthenia gravis,esophageal adenocarcinoma,hyper-IgM syndrome,kidney transplantation,lymphoma, non-Hodgkin,melanoma,multiple sclerosis,periodontitis,
