ID	Gene Name	Species	DISGENET
TNFRSF1A	TNF receptor superfamily member 1A(TNFRSF1A)	Homo sapiens	C0002152~Alloxan Diabetes,C0003123~Anorexia,C0004364~Autoimmune Diseases,C0006625~Cachexia,C0007786~Brain Ischemia,C0008312~Primary biliary cirrhosis,C0010674~Cystic Fibrosis,C0011570~Mental Depression,C0011581~Depressive disorder,C0011853~Diabetes Mellitus, Experimental,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0015967~Fever,C0018801~Heart failure,C0018802~Congestive heart failure,C0020517~Hypersensitivity,C0023212~Left-Sided Heart Failure,C0023892~Biliary cirrhosis,C0026769~Multiple Sclerosis,C0032285~Pneumonia,C0032300~Lobar Pneumonia,C0036341~Schizophrenia,C0038433~Streptozotocin Diabetes,C0149910~Intermittent joint effusion,C0235527~Heart Failure, Right-Sided,C0238065~Secondary Biliary Cholangitis,C0242706~Hyperoxia,C0273115~Lung Injury,C0392164~Pulmonary Cystic Fibrosis,C0751324~Multiple Sclerosis, Acute Fulminating,C0751422~Hereditary Autoinflammatory Diseases,C0887898~Experimental Lung Inflammation,C0917798~Cerebral Ischemia,C1275126~TNF receptor-associated periodic fever syndrome (TRAPS),C1527304~Allergic Reaction,C1527396~Fibrocystic Disease of Pancreas,C1959583~Myocardial Failure,C1961112~Heart Decompensation,C2350344~Chronic Lung Injury,C3714636~Pneumonitis,C3860213~Autoinflammatory disorder,C4551595~Biliary Cirrhosis, Primary, 1,
TNFRSF1B	TNF receptor superfamily member 1B(TNFRSF1B)	Homo sapiens	C0004352~Autistic Disorder,C0007786~Brain Ischemia,C0011570~Mental Depression,C0011581~Depressive disorder,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0020517~Hypersensitivity,C0023890~Liver Cirrhosis,C0026948~Mycosis Fungoides,C0028754~Obesity,C0032285~Pneumonia,C0032300~Lobar Pneumonia,C0036341~Schizophrenia,C0036349~Paranoid Schizophrenia,C0036920~Sezary Syndrome,C0239946~Fibrosis, Liver,C0239981~Hypoalbuminemia,C0400966~Non-alcoholic Fatty Liver Disease,C0887898~Experimental Lung Inflammation,C0917798~Cerebral Ischemia,C1527304~Allergic Reaction,C3241937~Nonalcoholic Steatohepatitis,C3714636~Pneumonitis,
TNFRSF4	TNF receptor superfamily member 4(TNFRSF4)	Homo sapiens	C0004364~Autoimmune Diseases,C0494261~Combined immunodeficiency,C3810053~IMMUNODEFICIENCY 16,
TNIK	TRAF2 and NCK interacting kinase(TNIK)	Homo sapiens	C0036341~Schizophrenia,C0037274~Dermatologic disorders,C0087031~Juvenile-Onset Still Disease,C0274861~Arsenic Poisoning, Inorganic,C0274862~Nervous System, Organic Arsenic Poisoning,C0311375~Arsenic Poisoning,C0751851~Arsenic Encephalopathy,C0751852~Arsenic Induced Polyneuropathy,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4310755~MENTAL RETARDATION, AUTOSOMAL RECESSIVE 54,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
TSC22D3	TSC22 domain family member 3(TSC22D3)	Homo sapiens	C0020459~Hyperinsulinism,C0021364~Male infertility,C0039584~Testicular Diseases,C0848676~Subfertility, Male,C0917731~Male sterility,C1257963~Endogenous Hyperinsulinism,C1257964~Exogenous Hyperinsulinism,C1257965~Compensatory Hyperinsulinemia,C1262477~Weight decreased,
TSR2	TSR2 ribosome maturation factor(TSR2)	Homo sapiens	C0008925~Cleft Palate,C1260899~Anemia, Diamond-Blackfan,C2931850~Aase Smith syndrome 2,C4225422~DIAMOND-BLACKFAN ANEMIA 14 WITH MANDIBULOFACIAL DYSOSTOSIS,
TAX1BP1	Tax1 binding protein 1(TAX1BP1)	Homo sapiens	C0006142~Malignant neoplasm of breast,
UHMK1	U2AF homology motif kinase 1(UHMK1)	Homo sapiens	C0036341~Schizophrenia,
UGP2	UDP-glucose pyrophosphorylase 2(UGP2)	Homo sapiens	C0036572~Seizures,C0232466~Feeding difficulties,C0557874~Global developmental delay,C3714756~Intellectual Disability,C4025846~Abnormality of vision,C4025871~Abnormality of the face,
UXS1	UDP-glucuronate decarboxylase 1(UXS1)	Homo sapiens	C0376634~Craniofacial Abnormalities,
UPF3B	UPF3B regulator of nonsense mediated mRNA decay(UPF3B)	Homo sapiens	C0796022~Lujan Fryns syndrome,C1136249~Mental Retardation, X-Linked,C1970822~Mental Retardation, X-Linked, Syndromic 14,C2931498~Mental Retardation, X-Linked 1,C4707243~Familial thoracic aortic aneurysm and aortic dissection,
VAPA	VAMP associated protein A(VAPA)	Homo sapiens	C0005586~Bipolar Disorder,
VOPP1	VOPP1 WW domain binding protein(VOPP1)	Homo sapiens	C0023467~Leukemia, Myelocytic, Acute,C0023893~Liver Cirrhosis, Experimental,C0026998~Acute Myeloid Leukemia, M1,C1879321~Acute Myeloid Leukemia (AML-M2),
WNK1	WNK lysine deficient protein kinase 1(WNK1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0009402~Colorectal Carcinoma,C0020538~Hypertensive disease,C0022658~Kidney Diseases,C0033805~Pseudohypoaldosteronism,C0152013~Adenocarcinoma of lung (disorder),C0268436~Pseudohypoaldosteronism, Type I,C0270914~Hereditary Motor and Sensory-Neuropathy Type II,C1449842~Pseudohypoaldosteronism, Type I, Autosomal Dominant,C1449843~Pseudohypoaldosteronism, Type I, Autosomal Recessive,C1449844~Pseudohypoaldosteronism, Type II,C1840391~Pseudohypoaldosteronism, Type IIc,C2713447~Hyperpotassemia and Hypertension, Familial,C2752089~Neuropathy, Hereditary Sensory And Autonomic, Type IIA,
XRCC5	X-ray repair cross complementing 5(XRCC5)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0152013~Adenocarcinoma of lung (disorder),C0678306~alcohol sensitivity,
YTHDF2	YTH N6-methyladenosine RNA binding protein F2(YTHDF2)	Homo sapiens	C2239176~Liver carcinoma,
YY1AP1	YY1 associated protein 1(YY1AP1)	Homo sapiens	C1865267~Arterial Occlusive Disease, Progressive, with Hypertension, Heart Defects, Bone Fragility, and Brachysyndactyly,
YY1	YY1 transcription factor(YY1)	Homo sapiens	C0006826~Malignant Neoplasms,C0007873~Uterine Cervical Neoplasm,C0019693~HIV Infections,C0020796~Profound Mental Retardation,C0025363~Mental Retardation, Psychosocial,C0027651~Neoplasms,C0086692~Benign Neoplasm,C0235874~Disease Exacerbation,C0917816~Mental deficiency,C3714756~Intellectual Disability,C4048328~cervical cancer,C4479652~GABRIELE-DE VRIES SYNDROME,C4505456~HIV Coinfection,
ACP1	acid phosphatase 1(ACP1)	Homo sapiens	C0036341~Schizophrenia,C0041696~Unipolar Depression,C1269683~Major Depressive Disorder,
ACTG1	actin gamma 1(ACTG1)	Homo sapiens	C0001787~Osteoporosis, Age-Related,C0005745~Blepharoptosis,C0007097~Carcinoma,C0007621~Neoplastic Cell Transformation,C0009363~Congenital ocular coloboma (disorder),C0014544~Epilepsy,C0024433~Macrostomia,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0029456~Osteoporosis,C0029459~Osteoporosis, Senile,C0033377~Ptosis,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0240583~Short upturned nose,C0265541~Cranioschisis,C0266551~Congenital coloboma of iris,C0376634~Craniofacial Abnormalities,C0497552~Congenital neurologic anomalies,C0751406~Post-Traumatic Osteoporosis,C0857379~Abnormality of the pinna,C0948089~Acute Coronary Syndrome,C1257925~Mammary Carcinoma, Animal,C1384666~hearing impairment,C1843156~Progressive sensorineural hearing impairment,C1844505~Pointed chin,C1849340~Long palpebral fissure,C1853623~Fryns-Aftimos Syndrome,C1855722~Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation,C1858172~Deafness, Autosomal Dominant 20,C1865014~Long philtrum,C1865017~Thin upper lip vermilion,C1868571~Highly arched eyebrow,C1970280~Hearing loss begins with loss of high frequencies,C1970281~Audiogram shows sloping configuration,C1970282~Deafness, profound, by 6th decade,C3279369~Microphthalmia (in some patients),C3281235~BARAITSER-WINTER SYNDROME 2,C3549665~Deafness (in some patients),C3711374~Nonsyndromic Deafness,C3808883~Short neck (in some patients),C4012410~Enlarged ventricles (in some patients),C4229649~Heart defect (in some patients),C4229650~Pterygium colli (in some patients),C4229651~Hypertelorism/telecanthus,C4229652~Eye coloboma (in some patients),C4229653~Trigonocephaly/metopic ridge,C4231117~Pectus (in some patients),C4231118~Kyphosis/scoliosis (in some patients),C4231120~Prominent nasal root on profile,C4231121~Large, squared nose tip,C4231123~Retrognathia (in some patients),C4231124~Prominent/full/wide cheeks,C4554007~Uveoretinal Coloboma,C4708599~Coloboma of choroid and retina,
ACTR2	actin related protein 2(ACTR2)	Homo sapiens	C0036341~Schizophrenia,
ARPC1B	actin related protein 2/3 complex subunit 1B(ARPC1B)	Homo sapiens	C0005818~Blood Platelet Disorders,C0023893~Liver Cirrhosis, Experimental,C4540232~PLATELET ABNORMALITIES WITH EOSINOPHILIA AND IMMUNE-MEDIATED INFLAMMATORY DISEASE,
ARPC2	actin related protein 2/3 complex subunit 2(ARPC2)	Homo sapiens	C0009324~Ulcerative Colitis,
ACADVL	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	C0003129~Anoxemia,C0003130~Anoxia,C0242184~Hypoxia,C0270984~Metabolic myopathy,C0369183~Erythrocyte Mean Corpuscular Hemoglobin Test,C0700292~Hypoxemia,C1261502~Finding of Mean Corpuscular Hemoglobin,C3887523~Very long chain acyl-CoA dehydrogenase deficiency,
AP2B1	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens	C0086132~Depressive Symptoms,
AP2M1	adaptor related protein complex 2 subunit mu 1(AP2M1)	Homo sapiens	C0004134~Ataxia,C0036572~Seizures,C0393702~Myoclonic Astatic Epilepsy,C0557874~Global developmental delay,C0856975~Autistic behavior,C1858120~Generalized hypotonia,C3714756~Intellectual Disability,
AP2S1	adaptor related protein complex 2 subunit sigma 1(AP2S1)	Homo sapiens	C0342637~Hypocalciuric hypercalcemia, familial, type 1,C1833372~HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III,
AP3B1	adaptor related protein complex 3 subunit beta 1(AP3B1)	Homo sapiens	C0024115~Lung diseases,C0034069~Pulmonary Fibrosis,C0079504~Hermanski-Pudlak Syndrome,C1842362~HERMANSKY-PUDLAK SYNDROME 2,
AP3S1	adaptor related protein complex 3 subunit sigma 1(AP3S1)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
ADD1	adducin 1(ADD1)	Homo sapiens	C0020538~Hypertensive disease,C0085580~Essential Hypertension,C2239176~Liver carcinoma,
ADK	adenosine kinase(ADK)	Homo sapiens	C0003129~Anoxemia,C0003130~Anoxia,C0020796~Profound Mental Retardation,C0025363~Mental Retardation, Psychosocial,C0036341~Schizophrenia,C0242184~Hypoxia,C0700292~Hypoxemia,C0917816~Mental deficiency,C3280381~HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY,C3714756~Intellectual Disability,
ADSL	adenylosuccinate lyase(ADSL)	Homo sapiens	C0004352~Autistic Disorder,C0268126~Adenylosuccinate lyase deficiency (disorder),C0543888~Epileptic encephalopathy,C3714756~Intellectual Disability,C4721811~Adenylosuccinate lyase deficiency type 1,C4721812~Adenylosuccinate lyase deficiency type 4,C4721813~Adenylosuccinate lyase deficiency type 3,C4721814~Adenylosuccinate lyase deficiency type 2,
ADGRE5	adhesion G protein-coupled receptor E5(ADGRE5)	Homo sapiens	C0024115~Lung diseases,
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)	Homo sapiens	C1850053~Pelizaeus-Merzbacher-like disease, autosomal recessive, 2,
ANAPC5	anaphase promoting complex subunit 5(ANAPC5)	Homo sapiens	C0006142~Malignant neoplasm of breast,
ANXA1	annexin A1(ANXA1)	Homo sapiens	C0007097~Carcinoma,C0007137~Squamous cell carcinoma,C0020538~Hypertensive disease,C0022658~Kidney Diseases,C0023893~Liver Cirrhosis, Experimental,C0024232~Lymphatic Metastasis,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0026640~Mouth Neoplasms,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0033578~Prostatic Neoplasms,C0038354~Stomach Diseases,C0152013~Adenocarcinoma of lung (disorder),C0153381~Malignant neoplasm of mouth,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0279626~Squamous cell carcinoma of esophagus,C0376358~Malignant neoplasm of prostate,C0376634~Craniofacial Abnormalities,C1257925~Mammary Carcinoma, Animal,
ANXA11	annexin A11(ANXA11)	Homo sapiens	C0002736~Amyotrophic Lateral Sclerosis,C0036202~Sarcoidosis,C4693381~AMYOTROPHIC LATERAL SCLEROSIS 23,
ANXA5	annexin A5(ANXA5)	Homo sapiens	C0007137~Squamous cell carcinoma,C0019202~Hepatolenticular Degeneration,C0023467~Leukemia, Myelocytic, Acute,C0023893~Liver Cirrhosis, Experimental,C0024623~Malignant neoplasm of stomach,C0026640~Mouth Neoplasms,C0026998~Acute Myeloid Leukemia, M1,C0032914~Pre-Eclampsia,C0038356~Stomach Neoplasms,C0043094~Weight Gain,C0152013~Adenocarcinoma of lung (disorder),C0153381~Malignant neoplasm of mouth,C1527352~Hepatic Form of Wilson Disease,C1708349~Hereditary Diffuse Gastric Cancer,C1879321~Acute Myeloid Leukemia (AML-M2),C3280674~PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 3,
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)	Homo sapiens	C0018799~Heart Diseases,C0022333~Jacksonian Seizure,C0024623~Malignant neoplasm of stomach,C0025202~melanoma,C0033578~Prostatic Neoplasms,C0036572~Seizures,C0038356~Stomach Neoplasms,C0149958~Complex partial seizures,C0152013~Adenocarcinoma of lung (disorder),C0234533~Generalized seizures,C0234535~Clonic Seizures,C0235874~Disease Exacerbation,C0270824~Visual seizure,C0270844~Tonic Seizures,C0270846~Epileptic drop attack,C0376358~Malignant neoplasm of prostate,C0422850~Seizures, Somatosensory,C0422852~Seizures, Auditory,C0422853~Olfactory seizure,C0422854~Gustatory seizure,C0422855~Vertiginous seizure,C0494475~Tonic - clonic seizures,C0751056~Non-epileptic convulsion,C0751110~Single Seizure,C0751123~Atonic Absence Seizures,C0751494~Convulsive Seizures,C0751495~Seizures, Focal,C0751496~Seizures, Sensory,C1449861~Micronuclei, Chromosome-Defective,C1449862~Micronuclei, Genotoxicant-Induced,C1708349~Hereditary Diffuse Gastric Cancer,C2239176~Liver carcinoma,C3495874~Nonepileptic Seizures,C4048158~Convulsions,C4316903~Absence Seizures,C4317109~Epileptic Seizures,C4317123~Myoclonic Seizures,C4505436~Generalized Absence Seizures,
AQP3	aquaporin 3 (Gill blood group)(AQP3)	Homo sapiens	C0005684~Malignant neoplasm of urinary bladder,C0005695~Bladder Neoplasm,C0007114~Malignant neoplasm of skin,C0007137~Squamous cell carcinoma,C0014859~Esophageal Neoplasms,C0024232~Lymphatic Metastasis,C0037286~Skin Neoplasms,C0040411~Tongue Neoplasms,C0153349~Malignant neoplasm of tongue,C0546837~Malignant neoplasm of esophagus,C0919267~ovarian neoplasm,C1140680~Malignant neoplasm of ovary,
RSRP1	arginine and serine rich protein 1(RSRP1)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
AHR	aryl hydrocarbon receptor(AHR)	Homo sapiens	C0000786~Spontaneous abortion,C0000822~Abortion, Tubal,C0003865~Arthritis, Adjuvant-Induced,C0003873~Rheumatoid Arthritis,C0004153~Atherosclerosis,C0004943~Behcet Syndrome,C0005612~Birth Weight,C0005683~Urinary Bladder Calculi (disorder),C0005974~Bone Resorption,C0006142~Malignant neoplasm of breast,C0006826~Malignant Neoplasms,C0009319~Colitis,C0011616~Contact Dermatitis,C0018273~Growth Disorders,C0018798~Congenital Heart Defects,C0018800~Cardiomegaly,C0019193~Hepatitis, Toxic,C0019209~Hepatomegaly,C0020538~Hypertensive disease,C0020564~Hypertrophy,C0020578~Hyperventilation,C0021364~Male infertility,C0021368~Inflammation,C0021655~Insulin Resistance,C0023890~Liver Cirrhosis,C0023895~Liver diseases,C0023903~Liver neoplasms,C0024623~Malignant neoplasm of stomach,C0025517~Metabolic Diseases,C0027540~Necrosis,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0027651~Neoplasms,C0027659~Neoplasms, Experimental,C0028043~Nicotine Dependence,C0028754~Obesity,C0030297~Pancreatic Neoplasm,C0032285~Pneumonia,C0032300~Lobar Pneumonia,C0033578~Prostatic Neoplasms,C0035334~Retinitis Pigmentosa,C0037116~Silicosis,C0037997~Splenic Diseases,C0038002~Splenomegaly,C0038356~Stomach Neoplasms,C0039231~Tachycardia,C0040332~Tobacco Dependence,C0041955~Ureteral Neoplasms,C0042373~Vascular Diseases,C0043094~Weight Gain,C0080203~Tachyarrhythmia,C0086565~Liver Dysfunction,C0086692~Benign Neoplasm,C0149721~Left Ventricular Hypertrophy,C0152013~Adenocarcinoma of lung (disorder),C0153619~Malignant neoplasm of ureter,C0162351~Contact hypersensitivity,C0162834~Hyperpigmentation,C0236811~Chronobiology Disorders,C0239946~Fibrosis, Liver,C0242339~Dyslipidemias,C0242706~Hyperoxia,C0273115~Lung Injury,C0333641~Atrophic,C0345904~Malignant neoplasm of liver,C0346647~Malignant neoplasm of pancreas,C0376358~Malignant neoplasm of prostate,C0376384~Nicotine Use Disorder,C0400966~Non-alcoholic Fatty Liver Disease,C0559470~Allergy to peanuts,C0598784~Dyslipoproteinemias,C0678222~Breast Carcinoma,C0700501~Congenital nystagmus,C0813142~Circadian Rhythm Disorders,C0848676~Subfertility, Male,C0860207~Drug-Induced Liver Disease,C0887800~Psychogenic Inversion of Circadian Rhythm,C0887898~Experimental Lung Inflammation,C0917731~Male sterility,C0920563~Insulin Sensitivity,C0971858~Arthritis, Collagen-Induced,C0993582~Arthritis, Experimental,C1257931~Mammary Neoplasms, Human,C1262760~Hepatitis, Drug-Induced,C1383860~Cardiac Hypertrophy,C1458155~Mammary Neoplasms,C1563937~Atherogenesis,C1708349~Hereditary Diffuse Gastric Cancer,C2350344~Chronic Lung Injury,C2673809~Infantile nystagmus,C2931037~Pancreatic cancer, adult,C3241937~Nonalcoholic Steatohepatitis,C3658290~Drug-Induced Acute Liver Injury,C3714636~Pneumonitis,C3830362~Early Pregnancy Loss,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,C4552766~Miscarriage,C4704874~Mammary Carcinoma, Human,
ATXN1	ataxin 1(ATXN1)	Homo sapiens	C0004238~Atrial Fibrillation,C0035309~Retinal Diseases,C0087012~Ataxia, Spinocerebellar,C0235480~Paroxysmal atrial fibrillation,C0270715~Degenerative Diseases, Central Nervous System,C0524851~Neurodegenerative Disorders,C0751733~Degenerative Diseases, Spinal Cord,C0752120~Spinocerebellar Ataxia Type 1,C0752121~Spinocerebellar Ataxia Type 2,C0752122~Spinocerebellar Ataxia Type 4,C0752123~Spinocerebellar Ataxia Type 5,C0752124~Spinocerebellar Ataxia Type 6 (disorder),C0752125~Spinocerebellar Ataxia Type 7,C2362914~clinical depression,C2585653~Persistent atrial fibrillation,C3468561~familial atrial fibrillation,
ATG101	autophagy related 101(ATG101)	Homo sapiens	C0024121~Lung Neoplasms,C0242379~Malignant neoplasm of lung,
BSG	basigin (Ok blood group)(BSG)	Homo sapiens	C0015697~Arterial Fatty Streak,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0027659~Neoplasms, Experimental,C0264956~Atheroma,C1862939~AMYOTROPHIC LATERAL SCLEROSIS 1,C1862941~Amyotrophic Lateral Sclerosis, Sporadic,C2936350~Plaque, Atherosclerotic,C2936351~Fibroatheroma,C4551993~Amyotrophic Lateral Sclerosis, Familial,
BOD1L1	biorientation of chromosomes in cell division 1 like 1(BOD1L1)	Homo sapiens	C0006142~Malignant neoplasm of breast,
BAZ1B	bromodomain adjacent to zinc finger domain 1B(BAZ1B)	Homo sapiens	C0175702~Williams Syndrome,
CREB1	cAMP responsive element binding protein 1(CREB1)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0005586~Bipolar Disorder,C0009171~Cocaine Abuse,C0011570~Mental Depression,C0011581~Depressive disorder,C0026552~Morphine Dependence,C0027051~Myocardial Infarction,C0027627~Neoplasm Metastasis,C0036341~Schizophrenia,C0038587~Substance Withdrawal Syndrome,C0041696~Unipolar Depression,C0086189~Drug Withdrawal Symptoms,C0087169~Withdrawal Symptoms,C0151779~Cutaneous Melanoma,C0206651~Clear Cell Sarcoma of Soft Tissue,C0236736~Cocaine-Related Disorders,C0525045~Mood Disorders,C0600272~Morphine Abuse,C0600427~Cocaine Dependence,C1266127~Histiocytoma, Angiomatoid Fibrous,C1269683~Major Depressive Disorder,
CALCOCO2	calcium binding and coiled-coil domain 2(CALCOCO2)	Homo sapiens	C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,
CALM1	calmodulin 1(CALM1)	Homo sapiens	C0002395~Alzheimer's Disease,C0006868~Cannabis Abuse,C0006870~Cannabis Dependence,C0009171~Cocaine Abuse,C0011265~Presenile dementia,C0018614~Hashish Abuse,C0024809~Marijuana Abuse,C0031391~Phencyclidine Abuse,C0035828~Romano-Ward Syndrome,C0043094~Weight Gain,C0236735~Cannabis-Related Disorder,C0236736~Cocaine-Related Disorders,C0236742~Phencyclidine-Related Disorders,C0276496~Familial Alzheimer Disease (FAD),C0340485~Familial ventricular tachycardia,C0494463~Alzheimer Disease, Late Onset,C0546126~Acute Confusional Senile Dementia,C0600427~Cocaine Dependence,C0750900~Alzheimer's Disease, Focal Onset,C0750901~Alzheimer Disease, Early Onset,C1631597~VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1 (disorder),C2677794~Stress-induced polymorphic ventricular tachycardia,C3554047~VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 4,C4015671~LONG QT SYNDROME 14,
CANX	calnexin(CANX)	Homo sapiens	C0019193~Hepatitis, Toxic,C0151744~Myocardial Ischemia,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
CAPN1	calpain 1(CAPN1)	Homo sapiens	C0006826~Malignant Neoplasms,C0025202~melanoma,C0027651~Neoplasms,C0029134~Optic Neuritis,C0085582~Retrobulbar Neuritis,C0086692~Benign Neoplasm,C0524679~Neuropapillitis,C4310800~SPASTIC PARAPLEGIA 76, AUTOSOMAL RECESSIVE,
CNPY3	canopy FGF signaling regulator 3(CNPY3)	Homo sapiens	C0037769~West Syndrome,C4693663~EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 60,
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1(CAPZA1)	Homo sapiens	C0279626~Squamous cell carcinoma of esophagus,
CAPG	capping actin protein, gelsolin like(CAPG)	Homo sapiens	C0007134~Renal Cell Carcinoma,C0022548~Keloid,C0023467~Leukemia, Myelocytic, Acute,C0023893~Liver Cirrhosis, Experimental,C0026998~Acute Myeloid Leukemia, M1,C0152013~Adenocarcinoma of lung (disorder),C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C1879321~Acute Myeloid Leukemia (AML-M2),
CSNK1D	casein kinase 1 delta(CSNK1D)	Homo sapiens	C0006142~Malignant neoplasm of breast,C1858496~Advanced Sleep-Phase Syndrome, Familial,C3808874~ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2,
CASP3	caspase 3(CASP3)	Homo sapiens	C0002152~Alloxan Diabetes,C0002395~Alzheimer's Disease,C0006663~Calcinosis,C0007786~Brain Ischemia,C0009324~Ulcerative Colitis,C0010417~Cryptorchidism,C0011265~Presenile dementia,C0011853~Diabetes Mellitus, Experimental,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0011875~Diabetic Angiopathies,C0011882~Diabetic Neuropathies,C0011884~Diabetic Retinopathy,C0013604~Edema,C0014476~Eperythrozoonosis,C0018824~Heart valve disease,C0019189~Hepatitis, Chronic,C0025945~Microangiopathy, Diabetic,C0026936~Mycoplasma Infections,C0027051~Myocardial Infarction,C0027055~Myocardial Reperfusion Injury,C0027746~Nerve Degeneration,C0027765~nervous system disorder,C0034189~Pyemia,C0035126~Reperfusion Injury,C0035305~Retinal Detachment,C0036341~Schizophrenia,C0036690~Septicemia,C0038220~Status Epilepticus,C0038433~Streptozotocin Diabetes,C0038525~Subarachnoid Hemorrhage,C0149504~Encephalopathy, Toxic,C0149519~Chronic Persistent Hepatitis,C0151603~Anasarca,C0154659~Toxic Encephalitis,C0235032~Neurotoxicity Syndromes,C0243026~Sepsis,C0263628~Tumoral calcinosis,C0270192~Perinatal Subarachnoid Hemorrhage,C0270823~Petit mal status,C0271673~Symmetric Diabetic Proximal Motor Neuropathy,C0271674~Asymmetric Diabetic Proximal Motor Neuropathy,C0271678~Diabetic Mononeuropathy,C0271680~Diabetic Polyneuropathies,C0271685~Diabetic Amyotrophy,C0271686~Diabetic Autonomic Neuropathy,C0276496~Familial Alzheimer Disease (FAD),C0311335~Grand Mal Status Epilepticus,C0339546~Retinal Pigment Epithelial Detachment,C0393734~Complex Partial Status Epilepticus,C0393835~Diabetic Asymmetric Polyneuropathy,C0431663~Bilateral Cryptorchidism,C0431664~Unilateral Cryptorchidism,C0472383~Subarachnoid Hemorrhage, Spontaneous,C0494463~Alzheimer Disease, Late Onset,C0520463~Chronic active hepatitis,C0521174~Microcalcification,C0524611~Cryptogenic Chronic Hepatitis,C0546126~Acute Confusional Senile Dementia,C0750900~Alzheimer's Disease, Focal Onset,C0750901~Alzheimer Disease, Early Onset,C0751074~Diabetic Neuralgia,C0751522~Status Epilepticus, Subclinical,C0751523~Non-Convulsive Status Epilepticus,C0751524~Simple Partial Status Epilepticus,C0751530~Subarachnoid Hemorrhage, Aneurysmal,C0795688~Subarachnoid Hemorrhage, Intracranial,C0917798~Cerebral Ischemia,C1563730~Abdominal Cryptorchidism,C1563731~Inguinal Cryptorchidism,C1719672~Severe Sepsis,C1876165~Copper-Overload Cirrhosis,C2937358~Cerebral Hemorrhage,
CASP4	caspase 4(CASP4)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C0036341~Schizophrenia,
