source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:CC	GO:0098857	membrane microdomain	1.8976912889767027e-05	True	"""A membrane region with a lipid composition that is distinct from that of the membrane regions that surround it."" [PMID:20044567, PMID:26253820]"	290	358	20	22097	0.055865921787709494	0.06896551724137931	query_1	['GO:0016020']
GO:BP	GO:0048514	blood vessel morphogenesis	1.930443420916345e-05	True	"""The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."" [GOC:jid]"	625	355	33	21031	0.09295774647887324	0.0528	query_1	['GO:0001568', 'GO:0035239']
GO:BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	2.0993745005475917e-05	True	"""Any process that modulates the frequency, rate or extent of extrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	155	355	16	21031	0.04507042253521127	0.1032258064516129	query_1	['GO:0097191', 'GO:2001233']
GO:CC	GO:0042611	MHC protein complex	2.232062304995634e-05	True	"""A transmembrane protein complex composed of an MHC alpha chain and, in most cases, either an MHC class II beta chain or an invariant beta2-microglobin chain, and with or without a bound peptide, lipid, or polysaccharide antigen."" [GOC:add, GOC:jl, ISBN:0781735149, PMID:15928678, PMID:16153240]"	24	358	7	22097	0.019553072625698324	0.2916666666666667	query_1	['GO:0098797']
GO:BP	GO:0071219	cellular response to molecule of bacterial origin	2.2528057038232585e-05	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."" [GOC:mah]"	224	355	19	21031	0.05352112676056338	0.08482142857142858	query_1	['GO:0002237', 'GO:0071216']
GO:BP	GO:0034612	response to tumor necrosis factor	2.3220060778653436e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]"	249	355	20	21031	0.056338028169014086	0.08032128514056225	query_1	['GO:0034097']
GO:BP	GO:0002699	positive regulation of immune effector process	2.4855620526793562e-05	True	"""Any process that activates or increases the frequency, rate, or extent of an immune effector process."" [GOC:add]"	250	355	20	21031	0.056338028169014086	0.08	query_1	['GO:0002252', 'GO:0002684', 'GO:0002697']
GO:CC	GO:0043226	organelle	2.7528464576164615e-05	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	16808	358	312	22097	0.8715083798882681	0.018562589243217516	query_1	['GO:0110165']
GO:BP	GO:0043254	regulation of protein-containing complex assembly	2.940315821335693e-05	True	"""Any process that modulates the frequency, rate or extent of protein complex assembly."" [GOC:jl]"	417	355	26	21031	0.07323943661971831	0.06235011990407674	query_1	['GO:0044087', 'GO:0051128', 'GO:0065003']
GO:CC	GO:0030054	cell junction	2.9961504299948887e-05	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2230	358	69	22097	0.19273743016759776	0.03094170403587444	query_1	['GO:0110165']
GO:BP	GO:0046907	intracellular transport	3.1655430952936335e-05	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1371	355	53	21031	0.14929577464788732	0.03865791393143691	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']
GO:BP	GO:0032870	cellular response to hormone stimulus	3.6882538067139526e-05	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:mah]"	609	355	32	21031	0.09014084507042254	0.052545155993431854	query_1	['GO:0009725', 'GO:0071310', 'GO:0071495']
GO:BP	GO:0032774	RNA biosynthetic process	3.697364663606e-05	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3601	355	103	21031	0.29014084507042254	0.02860316578728131	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']
GO:BP	GO:0045893	positive regulation of DNA-templated transcription	3.710039370399072e-05	True	"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1703	355	61	21031	0.17183098591549295	0.0358191426893717	query_1	['GO:0006351', 'GO:0006355', 'GO:1902680']
GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	3.8032477998277954e-05	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1183	355	48	21031	0.1352112676056338	0.04057480980557904	query_1	['GO:0009653', 'GO:0032502']
GO:BP	GO:0043549	regulation of kinase activity	3.855883858544569e-05	True	"""Any process that modulates the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:bf]"	483	355	28	21031	0.07887323943661972	0.057971014492753624	query_1	['GO:0042325', 'GO:0051338']
GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	3.9577373152013836e-05	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1706	355	61	21031	0.17183098591549295	0.03575615474794842	query_1	['GO:0010557', 'GO:0032774', 'GO:0051254', 'GO:2001141']
GO:BP	GO:2001141	regulation of RNA biosynthetic process	4.113731827256366e-05	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3464	355	100	21031	0.28169014084507044	0.028868360277136258	query_1	['GO:0010556', 'GO:0032774', 'GO:0051252']
GO:BP	GO:0050728	negative regulation of inflammatory response	4.329240405316715e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the inflammatory response."" [GOC:ai]"	163	355	16	21031	0.04507042253521127	0.09815950920245399	query_1	['GO:0006954', 'GO:0031348', 'GO:0032102', 'GO:0050727']
GO:BP	GO:0071702	organic substance transport	4.4058090745597794e-05	True	"""The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."" [GOC:mah]"	2358	355	76	21031	0.2140845070422535	0.032230703986429174	query_1	['GO:0006810']
GO:BP	GO:0007162	negative regulation of cell adhesion	4.507604426017042e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	285	355	21	21031	0.059154929577464786	0.07368421052631578	query_1	['GO:0007155', 'GO:0030155', 'GO:0048523']
GO:BP	GO:0051093	negative regulation of developmental process	4.664483708559768e-05	True	"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	928	355	41	21031	0.11549295774647887	0.04418103448275862	query_1	['GO:0032502', 'GO:0048519', 'GO:0050793']
GO:BP	GO:0006351	DNA-templated transcription	4.6957999430109985e-05	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3569	355	102	21031	0.28732394366197184	0.02857943401513029	query_1	['GO:0010467', 'GO:0032774']
GO:BP	GO:0070665	positive regulation of leukocyte proliferation	4.7246043375010745e-05	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte proliferation."" [GOC:add, GOC:mah]"	164	355	16	21031	0.04507042253521127	0.0975609756097561	query_1	['GO:0008284', 'GO:0070661', 'GO:0070663']
GO:BP	GO:0002833	positive regulation of response to biotic stimulus	4.868349193236754e-05	True	"""Any process that activates or increases the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]"	369	355	24	21031	0.0676056338028169	0.06504065040650407	query_1	['GO:0002831', 'GO:0009607', 'GO:0048584']
GO:BP	GO:0001944	vasculature development	4.948465091752393e-05	True	"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]"	752	355	36	21031	0.10140845070422536	0.047872340425531915	query_1	['GO:0048731', 'GO:0072359']
GO:BP	GO:0051641	cellular localization	4.959477228774146e-05	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3621	355	103	21031	0.29014084507042254	0.028445180889257113	query_1	['GO:0009987', 'GO:0051179']
GO:BP	GO:2001234	negative regulation of apoptotic signaling pathway	5.264883738882714e-05	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	236	355	19	21031	0.05352112676056338	0.08050847457627118	query_1	['GO:0009968', 'GO:0043066', 'GO:0097190', 'GO:2001233']
GO:BP	GO:0045765	regulation of angiogenesis	5.407411463070718e-05	True	"""Any process that modulates the frequency, rate or extent of angiogenesis."" [GOC:go_curators]"	288	355	21	21031	0.059154929577464786	0.07291666666666667	query_1	['GO:0001525', 'GO:0022603', 'GO:1901342']
GO:CC	GO:0031981	nuclear lumen	5.412027302676657e-05	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	5521	358	133	22097	0.3715083798882682	0.024089838797319327	query_1	['GO:0005634', 'GO:0070013']
GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	5.416693067408112e-05	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]"	315	355	22	21031	0.061971830985915494	0.06984126984126984	query_1	['GO:0035556', 'GO:0097190']
GO:BP	GO:0031327	negative regulation of cellular biosynthetic process	5.4896837240286077e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	2824	355	86	21031	0.24225352112676057	0.030453257790368272	query_1	['GO:0009890', 'GO:0031324', 'GO:0031326', 'GO:0044249']
GO:BP	GO:0036293	response to decreased oxygen levels	5.733504796374167e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	316	355	22	21031	0.061971830985915494	0.06962025316455696	query_1	['GO:0070482']
GO:BP	GO:0022408	negative regulation of cell-cell adhesion	5.752574451700329e-05	True	"""Any process that stops, prevents or reduces the rate or extent of cell adhesion to another cell."" [GOC:isa_complete]"	189	355	17	21031	0.04788732394366197	0.08994708994708994	query_1	['GO:0007162', 'GO:0022407', 'GO:0098609']
GO:BP	GO:0031341	regulation of cell killing	5.960930747304189e-05	True	"""Any process that modulates the frequency, rate or extent of cell killing, the process in which a cell brings about the death of another cell, either in the same or a different organism."" [GOC:mah]"	105	355	13	21031	0.036619718309859155	0.12380952380952381	query_1	['GO:0001906', 'GO:0050794']
GO:BP	GO:0051234	establishment of localization	6.0239038776860626e-05	True	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	4881	355	128	21031	0.36056338028169016	0.026224134398688793	query_1	['GO:0051179']
GO:BP	GO:0001818	negative regulation of cytokine production	6.0966728081059356e-05	True	"""Any process that stops, prevents, or reduces the rate of production of a cytokine."" [GOC:add, ISBN:0781735149]"	290	355	21	21031	0.059154929577464786	0.07241379310344828	query_1	['GO:0001816', 'GO:0001817', 'GO:0010629', 'GO:0051241']
GO:BP	GO:0050868	negative regulation of T cell activation	6.349562538463401e-05	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of T cell activation."" [GOC:ai]"	125	355	14	21031	0.03943661971830986	0.112	query_1	['GO:0042110', 'GO:0050863', 'GO:0051250', 'GO:1903038']
GO:BP	GO:0006355	regulation of DNA-templated transcription	6.425761274114685e-05	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3446	355	99	21031	0.27887323943661974	0.028728961114335462	query_1	['GO:0006351', 'GO:0010468', 'GO:2001141']
GO:BP	GO:0033036	macromolecule localization	6.646136407224421e-05	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	3210	355	94	21031	0.2647887323943662	0.029283489096573207	query_1	['GO:0051179']
GO:BP	GO:0009890	negative regulation of biosynthetic process	6.898170027253035e-05	True	"""Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	2838	355	86	21031	0.24225352112676057	0.030303030303030304	query_1	['GO:0009058', 'GO:0009889', 'GO:0009892']
GO:BP	GO:0072359	circulatory system development	7.115230717959726e-05	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1130	355	46	21031	0.1295774647887324	0.04070796460176991	query_1	['GO:0048731']
GO:BP	GO:0060326	cell chemotaxis	7.18034806203575e-05	True	"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]"	320	355	22	21031	0.061971830985915494	0.06875	query_1	['GO:0006935', 'GO:0016477', 'GO:0070887']
GO:BP	GO:1901342	regulation of vasculature development	7.284110706194206e-05	True	"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]"	293	355	21	21031	0.059154929577464786	0.07167235494880546	query_1	['GO:0001944', 'GO:2000026']
GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	7.362169890615146e-05	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2567	355	80	21031	0.22535211267605634	0.031164783794312426	query_1	['GO:0006355', 'GO:0006366']
GO:BP	GO:0035239	tube morphogenesis	7.700206821915188e-05	True	"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]"	872	355	39	21031	0.10985915492957747	0.04472477064220184	query_1	['GO:0009653', 'GO:0035295']
GO:BP	GO:0042267	natural killer cell mediated cytotoxicity	7.792911765996122e-05	True	"""The directed killing of a target cell by a natural killer cell through the release of granules containing cytotoxic mediators or through the engagement of death receptors."" [GOC:add, GOC:pr]"	72	355	11	21031	0.030985915492957747	0.1527777777777778	query_1	['GO:0001909', 'GO:0002228']
GO:BP	GO:0071705	nitrogen compound transport	8.306241469459973e-05	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1911	355	65	21031	0.18309859154929578	0.034013605442176874	query_1	['GO:0006810']
GO:CC	GO:0034774	secretory granule lumen	9.325533808807648e-05	True	"""The volume enclosed by the membrane of a secretory granule."" [GOC:rph]"	320	358	20	22097	0.055865921787709494	0.0625	query_1	['GO:0030141', 'GO:0060205']
GO:BP	GO:0045936	negative regulation of phosphate metabolic process	0.00010373259090261199	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	355	355	23	21031	0.0647887323943662	0.0647887323943662	query_1	['GO:0006796', 'GO:0010563', 'GO:0019220']
GO:BP	GO:0001525	angiogenesis	0.0001039264915435752	True	"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels."" [ISBN:0878932453]"	538	355	29	21031	0.08169014084507042	0.05390334572490706	query_1	['GO:0048514', 'GO:0048646']
GO:BP	GO:0010558	negative regulation of macromolecule biosynthetic process	0.00010757115853949625	True	"""Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	2773	355	84	21031	0.23661971830985915	0.030292102416155788	query_1	['GO:0009059', 'GO:0010556', 'GO:0010605', 'GO:0031327']
GO:CC	GO:0060205	cytoplasmic vesicle lumen	0.00010816264015721051	True	"""The volume enclosed by a cytoplasmic vesicle."" [GOC:dph, GOC:vesicles]"	323	358	20	22097	0.055865921787709494	0.06191950464396285	query_1	['GO:0031410', 'GO:0031983', 'GO:0070013']
GO:MF	GO:0004896	cytokine receptor activity	0.00010845284328221955	True	"""Combining with a cytokine and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."" [GOC:add, GOC:mah]"	101	358	12	20212	0.0335195530726257	0.1188118811881188	query_1	['GO:0004888', 'GO:0140375']
GO:BP	GO:0010563	negative regulation of phosphorus metabolic process	0.0001092110495361191	True	"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	356	355	23	21031	0.0647887323943662	0.06460674157303371	query_1	['GO:0006793', 'GO:0031324', 'GO:0051174']
GO:BP	GO:0002366	leukocyte activation involved in immune response	0.00010933297673163752	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	300	355	21	21031	0.059154929577464786	0.07	query_1	['GO:0002263', 'GO:0045321']
GO:CC	GO:0031983	vesicle lumen	0.00011359718388763353	True	"""The volume enclosed by the membrane or protein that forms a vesicle."" [GOC:mah, GOC:vesicles]"	324	358	20	22097	0.055865921787709494	0.06172839506172839	query_1	['GO:0031982', 'GO:0043233']
GO:BP	GO:0002228	natural killer cell mediated immunity	0.00012072473728793966	True	"""The promotion of an immune response by natural killer cells through direct recognition of target cells or through the release of cytokines."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	75	355	11	21031	0.030985915492957747	0.14666666666666667	query_1	['GO:0002449', 'GO:0045087']
GO:BP	GO:0044271	cellular nitrogen compound biosynthetic process	0.0001241498564565525	True	"""The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]"	4836	355	126	21031	0.35492957746478876	0.026054590570719603	query_1	['GO:0034641', 'GO:0044249']
GO:MF	GO:0140677	molecular function activator activity	0.00012840746795774965	True	"""A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]"	1124	358	45	20212	0.12569832402234637	0.0400355871886121	query_1	['GO:0098772']
GO:BP	GO:0010720	positive regulation of cell development	0.000136375260257945	True	"""Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]"	450	355	26	21031	0.07323943661971831	0.057777777777777775	query_1	['GO:0045597', 'GO:0048468', 'GO:0060284']
GO:BP	GO:0002263	cell activation involved in immune response	0.00013712956762754877	True	"""A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	304	355	21	21031	0.059154929577464786	0.06907894736842106	query_1	['GO:0001775', 'GO:0002252', 'GO:0006955']
GO:BP	GO:0045859	regulation of protein kinase activity	0.000142518368468199	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	451	355	26	21031	0.07323943661971831	0.057649667405764965	query_1	['GO:0001932', 'GO:0043549']
GO:BP	GO:0045596	negative regulation of cell differentiation	0.000149790946189317	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation."" [GOC:go_curators]"	681	355	33	21031	0.09295774647887324	0.048458149779735685	query_1	['GO:0030154', 'GO:0045595', 'GO:0048523', 'GO:0051093']
GO:BP	GO:0006979	response to oxidative stress	0.0001603860908376994	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl, PMID:12115731]"	393	355	24	21031	0.0676056338028169	0.061068702290076333	query_1	['GO:0006950']
GO:BP	GO:0044087	regulation of cellular component biogenesis	0.00016193160351841198	True	"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	971	355	41	21031	0.11549295774647887	0.042224510813594233	query_1	['GO:0044085', 'GO:0050794']
GO:BP	GO:0051129	negative regulation of cellular component organization	0.00016798603887327264	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	719	355	34	21031	0.09577464788732394	0.04728789986091794	query_1	['GO:0016043', 'GO:0048523', 'GO:0051128']
GO:BP	GO:0043086	negative regulation of catalytic activity	0.0001848727441034631	True	"""Any process that stops or reduces the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	396	355	24	21031	0.0676056338028169	0.06060606060606061	query_1	['GO:0044092', 'GO:0050790']
GO:BP	GO:1903038	negative regulation of leukocyte cell-cell adhesion	0.00018638673202993325	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	136	355	14	21031	0.03943661971830986	0.10294117647058823	query_1	['GO:0007159', 'GO:0022408', 'GO:1903037']
GO:CC	GO:0030659	cytoplasmic vesicle membrane	0.0001963624306996795	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1226	358	44	22097	0.12290502793296089	0.03588907014681892	query_1	['GO:0012506', 'GO:0031410']
GO:BP	GO:0002706	regulation of lymphocyte mediated immunity	0.00020519717420141556	True	"""Any process that modulates the frequency, rate, or extent of lymphocyte mediated immunity."" [GOC:add]"	182	355	16	21031	0.04507042253521127	0.08791208791208792	query_1	['GO:0002449', 'GO:0002703']
GO:BP	GO:0043434	response to peptide hormone	0.0002097634380395243	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	429	355	25	21031	0.07042253521126761	0.05827505827505827	query_1	['GO:0009725', 'GO:1901652']
GO:BP	GO:0071496	cellular response to external stimulus	0.0002207491061329697	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:mah]"	341	355	22	21031	0.061971830985915494	0.06451612903225806	query_1	['GO:0009605']
GO:CC	GO:0005767	secondary lysosome	0.00022671030818400992	True	"""Vacuole formed by the fusion of a lysosome with an organelle (autosome) or with a primary phagosome."" [GOC:jl, ISBN:0815316194]"	21	358	6	22097	0.01675977653631285	0.2857142857142857	query_1	['GO:0005764']
GO:BP	GO:0032743	positive regulation of interleukin-2 production	0.0002293652137043655	True	"""Any process that activates or increases the frequency, rate, or extent of interleukin-2 production."" [GOC:mah]"	35	355	8	21031	0.022535211267605635	0.22857142857142856	query_1	['GO:0001819', 'GO:0032623', 'GO:0032663']
GO:BP	GO:0009653	anatomical structure morphogenesis	0.00023838582232580026	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2684	355	81	21031	0.22816901408450704	0.030178837555886736	query_1	['GO:0032502', 'GO:0048856']
GO:BP	GO:0051179	localization	0.000254753365276433	True	"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"	5520	355	138	21031	0.38873239436619716	0.025	query_1	['GO:0008150']
GO:CC	GO:0012506	vesicle membrane	0.000266186162777995	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1240	358	44	22097	0.12290502793296089	0.035483870967741936	query_1	['GO:0031090', 'GO:0031982']
GO:BP	GO:0006366	transcription by RNA polymerase II	0.00026651758713541095	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2691	355	81	21031	0.22816901408450704	0.030100334448160536	query_1	['GO:0006351']
GO:BP	GO:0051649	establishment of localization in cell	0.0002675458571111652	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	1972	355	65	21031	0.18309859154929578	0.03296146044624747	query_1	['GO:0051234', 'GO:0051641']
GO:MF	GO:0008047	enzyme activator activity	0.0003220018145175216	True	"""Binds to and increases the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]"	585	358	29	20212	0.08100558659217877	0.04957264957264957	query_1	['GO:0030234', 'GO:0140677']
GO:BP	GO:0019058	viral life cycle	0.0003267318823749545	True	"""A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome."" [ISBN:1555811272]"	320	355	21	21031	0.059154929577464786	0.065625	query_1	['GO:0016032']
GO:BP	GO:0050673	epithelial cell proliferation	0.0003548111074034075	True	"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances."" [ISBN:0721662544]"	441	355	25	21031	0.07042253521126761	0.05668934240362812	query_1	['GO:0008283']
GO:BP	GO:0048513	animal organ development	0.0003645291556060855	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	3039	355	88	21031	0.24788732394366197	0.028956893715037842	query_1	['GO:0048856']
GO:BP	GO:1901362	organic cyclic compound biosynthetic process	0.00037655961771140974	True	"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]"	4264	355	113	21031	0.3183098591549296	0.02650093808630394	query_1	['GO:1901360', 'GO:1901576']
